17:10:36:216 [ALWAYS]	GUDE Logging Started
17:10:36:217 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:10:36:217 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:10:36:217 [ERROR]	Initialize resume cache pointer failure
17:10:36:218 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
17:10:36:224 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:10:43:286 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
17:10:43:290 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:10:43:290 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:10:43:290 [ERROR]	Initialize resume cache pointer failure
17:10:43:290 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
17:10:43:290 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
